全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
272035,0000000049,大阪府豊中市,上田家住宅物置,ウエダケジュウタクモノオキ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市東豊中町3,大阪府,豊中市,東豊中町3,,,34.801512,135.48197,,,,,,,,,,,,,41134,,,,,,,,,,,,
272035,0000000050,大阪府豊中市,榎原家住宅主屋,エバラケジュウタクシュオク,,,国登録有形文化財,建造物,,272035,,大阪府豊中市小曽根1,大阪府,豊中市,小曽根1,,,34.763276,135.486067,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000051,大阪府豊中市,榎原家住宅離れ,エバラケジュウタクハナレ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市小曽根1,大阪府,豊中市,小曽根1,,,34.763411,135.486095,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000052,大阪府豊中市,榎原家住宅土蔵一,エバラケジュウタクドゾウイチ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市小曽根1,大阪府,豊中市,小曽根1,,,34.763417,135.486,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000053,大阪府豊中市,榎原家住宅土蔵二,エバラケジュウタクドゾウニ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市小曽根1,大阪府,豊中市,小曽根1,,,34.76341,135.485933,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000054,大阪府豊中市,榎原家住宅土蔵三,エバラケジュウタクドゾウサン,,,国登録有形文化財,建造物,,272035,,大阪府豊中市小曽根1,大阪府,豊中市,小曽根1,,,34.763411,135.485847,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000055,大阪府豊中市,榎原家住宅露地門及び塀,エバラケジュウタクロジモンオヨビヘイ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市小曽根1,大阪府,豊中市,小曽根1,,,34.763129,135.485984,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000056,大阪府豊中市,榎原家住宅庭門及び塀,エバラケジュウタクニワモンオヨビヘイ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市小曽根1,大阪府,豊中市,小曽根1,,,34.76336,135.486122,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000057,大阪府豊中市,榎原家住宅外塀,エバラケジュウタクソトベイ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市小曽根1,大阪府,豊中市,小曽根1,,,34.763432,135.486179,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000058,大阪府豊中市,日本民家集落博物館　河内布施の長屋門,ニホンミンカシュウラクハクブツカン　カワチフセノナガヤモン,,,国登録有形文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.779476,135.487204,,,,,,,,,,,,,42914,,,,,,,,,,,,
272035,0000000059,大阪府豊中市,日本民家集落博物館　堂島の米蔵,ニホンミンカシュウラクハクブツカン　ドウジマノコメグラ,,,国登録有形文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.77931,135.487189,,,,,,,,,,,,,42914,,,,,,,,,,,,
272035,0000000060,大阪府豊中市,日本民家集落博物館　北河内の茶室,ニホンミンカシュウラクハクブツカン　キタカワチノチャシツ,,,国登録有形文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.778333,135.489983,,,,,,,,,,,,,42914,,,,,,,,,,,,
272035,0000000061,大阪府豊中市,カトリック豊中教会聖堂及びヨゼフ館,カトリックトヨナカキョウカイセイドウオヨビヨゼフカン,,,国登録有形文化財,建造物,,272035,,大阪府豊中市本町6-1-6,大阪府,豊中市,本町6,1-6,,34.790211,135.467103,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000062,大阪府豊中市,カトリック豊中教会司祭館,カトリックトヨナカキョウカイシサイカン,,,国登録有形文化財,建造物,,272035,,大阪府豊中市本町6-1-6,大阪府,豊中市,本町6,1-6,,34.790045,135.466826,,,,,,,,,,,,,41919,,,,,,,,,,,,
272035,0000000063,大阪府豊中市,マチカネワニ化石,マチカネワニカセキ,,,国登録記念物,その他,,272035,,大阪府豊中市待兼山町1-20,大阪府,豊中市,待兼山町,1-20,,34.807448,135.449064,,,,,,,,,,,,,41918,,,,,,,,,,,,
272035,0000000064,大阪府豊中市,旧重光家高倉,キュウシゲミツケタカクラ,,,大阪府指定有形文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.77894,135.488564,,,,,,,,,,,,,27117,,,,,,,,,,,,
272035,0000000065,大阪府豊中市,旧丸田家住宅,キュウマルタケジュウタク,,,大阪府指定有形文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.778947,135.489718,,,,,,,,,,,,,27117,,,,,,,,,,,,
272035,0000000066,大阪府豊中市,旧山下家住宅,キュウヤマシタケジュウタク,,,大阪府指定有形文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.77866,135.489922,,,,,,,,,,,,,27117,,,,,,,,,,,,
272035,0000000067,大阪府豊中市,旧藤原家住宅,キュウフジワラケジュウタク,,,大阪府指定有形文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.778176,135.489764,,,,,,,,,,,,,27117,,,,,,,,,,,,
272035,0000000068,大阪府豊中市,旧新田小学校校舎,キュウシンデンショウガッコウコウシャ,,,大阪府指定有形文化財,建造物,,272035,,大阪府豊中市上新田3-3-1,大阪府,豊中市,上新田3,3-1,,34.798391,135.496309,,,,,,,,,,,,,27484,,,,,,,,,,,,
272035,0000000069,大阪府豊中市,金禅寺木造十一面観音立像,コンゼンジモクゾウジュウイチメンカンノンリュウゾウ,,,大阪府指定有形文化財,美術工芸品,,272035,,大阪府豊中市本町5-3-64,大阪府,豊中市,本町5,3-64,,34.7892,135.466125,,,,,,,,,,,,,25619,,,,,,,,,,,,
272035,0000000070,大阪府豊中市,金寺廃寺塔刹柱礎石,カナデラハイジトウサッチュウソセキ,,,大阪府指定有形文化財,その他,,272035,,大阪府豊中市本町3-14-32,大阪府,豊中市,本町3,14-32,,34.789187,135.462706,,,,,,,,,,,,,27117,,,,,,,,,,,,
272035,0000000071,大阪府豊中市,宮前山古墳石棺,ミヤゼンヤマコフンセッカン,,,大阪府指定有形文化財,その他,,272035,,大阪府豊中市待兼山町1-5,大阪府,豊中市,待兼山町,1-5,,34.804686,135.45466,,,,,,,,,,,,,35046,,,,,,,,,,,,
272035,0000000072,大阪府豊中市,原田神社の流水文銅鐸,ハラダジンジャノリュウスイモンドウタク,,,大阪府指定有形文化財,その他,,272035,,大阪府豊中市中桜塚1-2-18,大阪府,豊中市,中桜塚1,2-18,,34.779437,135.465864,,,,,,,,,,,,,35464,,,,,,,,,,,,
272035,0000000073,大阪府豊中市,旧吉田の農村歌舞伎舞台,キュウヨシダノノウソンカブキブタイ,,,大阪府指定有形民俗文化財,その他,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.778519,135.489644,,,,,,,,,,,,,27117,,,,,,,,,,,,
272035,0000000074,大阪府豊中市,寶珠寺のヤマモモ,ホウシュジノヤマモモ,,,大阪府指定記念物,その他,,272035,,大阪府豊中市熊野町3-10-1,大阪府,豊中市,熊野町3,10-1,,34.79099,135.484112,,,,,,,,,,,,,42465,,,,,,,,,,,,
272035,0000000075,大阪府豊中市,原田神社摂社十二神社本殿,ハラダジンジャセッシャジュウニジンジャホンデン,,,豊中市指定有形文化財,建造物,,272035,,大阪府豊中市中桜塚1-2-18,大阪府,豊中市,中桜塚1,2-18,,34.779136,135.466168,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000076,大阪府豊中市,麻田藩主邸表玄関,アサダハンシュテイオモテゲンカン,,,豊中市指定有形文化財,建造物,,272035,,大阪府豊中市春日町2-6-1,大阪府,豊中市,春日町2,6-1,,34.808048,135.466653,,,,,,,,,,,,,32021,,,,,,,,,,,,
