時点,年齢（歳）,男（人）,女（人）
2023/7/1,72,2070,2327
2023/7/1,73,2033,2469
2023/7/1,74,2241,2570
2023/7/1,75,2069,2416
2023/7/1,76,1716,2231
2023/7/1,77,861,1247
2023/7/1,78,1125,1603
2023/7/1,79,1257,1771
2023/7/1,80,1157,1664
2023/7/1,81,1166,1637
2023/7/1,82,1092,1623
2023/7/1,83,934,1488
2023/7/1,84,724,1257
2023/7/1,85,762,1336
2023/7/1,86,660,1312
2023/7/1,87,588,1214
2023/7/1,88,529,1178
2023/7/1,89,424,975
2023/7/1,90,377,910
2023/7/1,91,279,792
2023/7/1,92,192,636
2023/7/1,93,167,548
2023/7/1,94,122,462
2023/7/1,95,85,342
2023/7/1,96,72,268
2023/7/1,97,42,217
2023/7/1,98,30,141
2023/7/1,99,16,102
2023/7/1,100,8,72
2023/7/1,101,4,56
2023/7/1,102,2,37
2023/7/1,103,0,24
2023/7/1,104,0,6
2023/7/1,105,0,4
2023/7/1,106,0,6
2023/7/1,107,0,2
2023/7/1,108,0,0
2023/7/1,109,0,0
2023/7/1,110,0,0
2023/7/1,111,0,0
2023/7/1,112,0,0
2023/7/1,113,0,0
2023/7/1,114,0,0
2023/7/1,115,0,0
2023/7/1,116,0,0
2023/7/1,117,0,0
2023/7/1,118,0,0
2023/7/1,119,0,0
2023/7/1,120,0,0
2023/8/1,0,1119,1035
2023/8/1,1,1216,1148
2023/8/1,2,1158,1197
2023/8/1,3,1299,1255
2023/8/1,4,1340,1298
2023/8/1,5,1331,1394
2023/8/1,6,1406,1320
2023/8/1,7,1470,1340
2023/8/1,8,1554,1396
2023/8/1,9,1479,1478
2023/8/1,10,1498,1409
2023/8/1,11,1544,1421
2023/8/1,12,1573,1408
2023/8/1,13,1521,1477
2023/8/1,14,1418,1410
2023/8/1,15,1548,1409
2023/8/1,16,1503,1426
2023/8/1,17,1446,1454
2023/8/1,18,1438,1385
2023/8/1,19,1440,1493
2023/8/1,20,1555,1465
2023/8/1,21,1640,1535
2023/8/1,22,1715,1567
2023/8/1,23,1716,1627
2023/8/1,24,1489,1613
2023/8/1,25,1520,1525
2023/8/1,26,1536,1543
2023/8/1,27,1428,1529
2023/8/1,28,1461,1526
2023/8/1,29,1510,1476
2023/8/1,30,1451,1528
2023/8/1,31,1440,1489
2023/8/1,32,1515,1565
2023/8/1,33,1448,1541
2023/8/1,34,1607,1624
2023/8/1,35,1568,1568
2023/8/1,36,1609,1657
2023/8/1,37,1670,1778
2023/8/1,38,1806,1821
2023/8/1,39,1891,1908
2023/8/1,40,1848,1868
2023/8/1,41,1867,1937
2023/8/1,42,1846,1914
2023/8/1,43,1957,2080
2023/8/1,44,1989,2007
2023/8/1,45,2066,2096
2023/8/1,46,2115,2154
2023/8/1,47,2045,2176
2023/8/1,48,2189,2294
2023/8/1,49,2326,2318
2023/8/1,50,2323,2205
2023/8/1,51,2195,2234
2023/8/1,52,1965,2173
2023/8/1,53,2027,2126
2023/8/1,54,2014,2102
2023/8/1,55,1956,2056
2023/8/1,56,1817,2012
2023/8/1,57,1603,1735
2023/8/1,58,1739,1997
2023/8/1,59,1695,1878
2023/8/1,60,1698,1802
2023/8/1,61,1725,1838
2023/8/1,62,1652,1829
2023/8/1,63,1627,1866
2023/8/1,64,1785,1885
2023/8/1,65,1698,1861
2023/8/1,66,1691,1820
2023/8/1,67,1727,1922
2023/8/1,68,1848,1958
2023/8/1,69,1744,1989
2023/8/1,70,1805,2114
2023/8/1,71,1997,2200
